Date,Open,High,Low,Last,Volume,Turnover
2020-07-10,6.0,6.351,5.99,6.347,22734777.0,141294064.0
2020-07-09,6.26,6.299,6.058,6.067,25875161.0,159180254.0
2020-07-08,6.467,6.499,6.242,6.242,27580638.0,174831818.0
2020-07-07,6.659,6.704,6.555,6.562,19901566.0,131431109.0
2020-07-06,6.626,6.813,6.615,6.7,27075010.0,181675005.0
2020-07-03,6.472,6.496,6.314,6.427,16726185.0,107052650.0
2020-07-02,6.25,6.558,6.206,6.449,30507605.0,196417971.0
2020-07-01,6.201,6.278,6.07,6.181,24024445.0,148725588.0
2020-06-30,6.293,6.333,6.092,6.198,25039449.0,155109969.0
2020-06-29,5.987,6.32,5.927,6.263,24227797.0,149402568.0
2020-06-26,6.311,6.34,5.994,6.02,25849720.0,158127460.0
2020-06-25,6.043,6.297,5.972,6.243,25122960.0,154908275.0
2020-06-24,6.433,6.525,6.105,6.105,24561907.0,153474617.0
2020-06-23,6.32,6.576,6.264,6.436,28210243.0,182011491.0
2020-06-22,6.128,6.327,6.083,6.26,25704595.0,160286273.0
2020-06-19,6.526,6.558,6.187,6.207,88632549.0,560043556.0
2020-06-18,6.499,6.7,6.31,6.422,34113732.0,221190211.0
2020-06-17,6.567,6.743,6.47,6.55,31571643.0,208289146.0
2020-06-16,6.6,6.692,6.393,6.527,40182649.0,262999440.0
2020-06-15,6.093,6.297,6.055,6.277,39117104.0,241439981.0
2020-06-12,6.161,6.603,6.08,6.372,40606423.0,260854170.0
2020-06-11,6.481,6.642,6.255,6.282,48428929.0,310745432.0
2020-06-10,7.104,7.267,6.824,6.864,34522103.0,240993867.0
2020-06-09,7.25,7.27,6.75,6.98,52304238.0,365355520.0
2020-06-08,7.001,7.452,6.99,7.272,47998375.0,349854739.0
2020-06-05,6.808,7.164,6.784,7.13,57968363.0,405572046.0
2020-06-04,6.38,6.65,6.23,6.563,48588344.0,313453502.0
2020-06-03,6.25,6.49,6.193,6.46,41958934.0,268450650.0
2020-06-02,5.971,6.187,5.94,6.149,38369150.0,234361236.0
2020-06-01,5.982,6.021,5.844,5.962,25361131.0,150518264.0
2020-05-29,5.909,6.065,5.753,5.806,47550258.0,279429508.0
2020-05-28,6.15,6.24,5.953,6.045,38562542.0,234466801.0
2020-05-27,5.771,6.13,5.73,6.031,53855251.0,323198889.0
2020-05-26,5.417,5.75,5.4,5.69,36291734.0,202764491.0
2020-05-25,5.32,5.349,5.204,5.326,15179707.0,80366606.0
2020-05-22,5.108,5.411,5.077,5.23,28905271.0,151786327.0
2020-05-21,5.232,5.334,5.173,5.24,25939444.0,135904573.0
2020-05-20,5.134,5.357,4.9775,5.335,34949019.0,181710611.0
2020-05-19,5.403,5.496,5.099,5.19,35659745.0,187483422.0
2020-05-18,4.9545,5.289,4.95,5.251,37839208.0,193866247.0
2020-05-15,4.968,5.021,4.7975,4.899,39433729.0,193431381.0
2020-05-14,4.75,4.952,4.5825,4.898,42065304.0,200135224.0
2020-05-13,4.956,4.956,4.7885,4.7885,32880932.0,159638627.0
2020-05-12,4.9135,5.162,4.909,5.061,32124897.0,162848735.0
2020-05-11,5.15,5.18,4.8305,4.931,25696256.0,127527007.0
2020-05-08,5.25,5.28,5.022,5.07,37227167.0,190878322.0
2020-05-07,4.675,4.8935,4.634,4.8935,26138755.0,125952955.0
2020-05-06,4.81,4.845,4.637,4.653,27169823.0,128319583.0
2020-05-05,4.878,4.9665,4.6965,4.847,30122862.0,145211778.0
2020-05-04,4.776,4.8375,4.625,4.72,39248275.0,185825607.0
2020-04-30,5.39,5.434,4.959,5.008,45455999.0,233168854.0
