Date,Open,High,Low,Last,Volume,Turnover
2020-07-10,17.785,18.055,17.68,18.055,551275.0,9891466.0
2020-07-09,18.25,18.25,17.845,17.855,890258.0,15992873.0
2020-07-08,18.25,18.4,18.095,18.16,585765.0,10655776.0
2020-07-07,18.535,18.535,18.14,18.22,710248.0,12953715.0
2020-07-06,18.4,18.715,18.35,18.54,410372.0,7613981.0
2020-07-03,18.46,18.56,18.21,18.33,413451.0,7584591.0
2020-07-02,18.66,18.78,18.35,18.46,679781.0,12578087.0
2020-07-01,18.15,18.615,18.04,18.52,953208.0,17569725.0
2020-06-30,18.5,18.65,18.11,18.14,979746.0,17885976.0
2020-06-29,18.575,18.585,18.125,18.515,587805.0,10832127.0
2020-06-26,18.8,19.18,18.595,18.595,1062197.0,19937703.0
2020-06-25,18.525,18.825,18.175,18.705,925718.0,17190695.0
2020-06-24,18.82,18.925,18.46,18.46,964758.0,17971520.0
2020-06-23,18.67,19.085,18.575,18.82,796281.0,14995187.0
2020-06-22,18.96,18.995,18.345,18.59,1060783.0,19719798.0
2020-06-19,19.3,19.43,18.99,18.99,1713609.0,32622551.0
2020-06-18,18.96,19.26,18.7,19.195,695190.0,13273172.0
2020-06-17,19.7,19.85,18.865,19.015,1195861.0,22870825.0
2020-06-16,19.26,19.95,19.165,19.72,1833408.0,35879221.0
2020-06-15,19.33,19.66,19.05,19.195,967287.0,18619820.0
2020-06-12,19.34,19.65,19.07,19.42,733216.0,14228131.0
2020-06-11,20.14,20.21,19.35,19.35,909318.0,17785238.0
2020-06-10,20.33,20.73,20.25,20.31,800981.0,16345109.0
2020-06-09,20.75,20.99,20.2,20.39,694758.0,14226532.0
2020-06-08,20.24,20.82,20.13,20.81,754736.0,15565453.0
2020-06-05,20.22,20.42,20.04,20.3,869764.0,17609403.0
2020-06-04,19.775,20.22,19.59,20.22,974976.0,19540831.0
2020-06-03,19.56,19.845,19.47,19.845,710466.0,14009795.0
2020-06-02,19.36,19.61,19.225,19.525,615094.0,11966486.0
2020-06-01,18.8,19.36,18.72,19.34,526960.0,10110717.0
2020-05-29,19.185,19.22,18.635,18.795,1034777.0,19458837.0
2020-05-28,18.6,19.315,18.51,19.295,1033160.0,19775337.0
2020-05-27,18.275,18.595,17.96,18.365,705635.0,12911420.0
2020-05-26,17.705,18.425,17.535,18.31,603562.0,10905291.0
2020-05-25,17.76,17.85,17.48,17.675,286596.0,5058638.0
2020-05-22,17.58,17.825,17.41,17.67,399697.0,7048706.0
2020-05-21,17.715,17.93,17.46,17.635,673377.0,11913609.0
2020-05-20,17.6,17.93,17.46,17.81,682834.0,12146772.0
2020-05-19,18.76,18.78,17.575,17.575,967433.0,17268943.0
2020-05-18,18.76,18.825,18.45,18.73,380357.0,7099021.0
2020-05-15,19.1,19.295,18.585,18.65,365319.0,6853627.0
2020-05-14,19.425,19.525,18.8,18.82,471554.0,8926310.0
2020-05-13,19.335,19.65,19.08,19.59,583775.0,11377015.0
