Date,Open,High,Low,Last,Volume,Turnover
2020-07-10,69.78,70.84,69.06,70.84,255761.0,17974119.0
2020-07-09,71.52,71.94,69.82,69.84,180609.0,12733920.0
2020-07-08,71.92,72.02,70.7,71.1,172459.0,12280154.0
2020-07-07,72.66,72.9,71.98,72.4,187911.0,13604025.0
2020-07-06,73.0,74.06,72.34,73.28,228425.0,16679609.0
2020-07-03,73.32,73.76,70.7,71.42,236005.0,16858862.0
2020-07-02,72.26,73.74,71.82,73.4,200236.0,14635645.0
2020-07-01,71.28,72.8,70.64,71.78,179155.0,12885468.0
2020-06-30,72.02,72.5,70.26,71.26,276789.0,19707670.0
2020-06-29,70.78,72.62,69.88,72.02,198606.0,14222482.0
2020-06-26,71.18,72.92,70.54,70.86,234334.0,16745779.0
2020-06-25,69.22,70.7,68.18,70.6,280739.0,19596867.0
2020-06-24,71.4,71.56,69.58,69.6,393961.0,27628283.0
2020-06-23,72.46,73.62,71.68,72.56,256067.0,18605606.0
2020-06-22,73.0,73.1,71.16,72.0,265523.0,19112384.0
2020-06-19,73.68,75.08,72.94,74.2,644269.0,47851195.0
2020-06-18,72.0,74.28,71.78,72.96,245378.0,17950019.0
2020-06-17,72.74,73.7,71.52,71.98,245400.0,17733785.0
2020-06-16,71.78,74.44,71.4,72.72,227087.0,16568219.0
2020-06-15,69.0,70.66,67.6,69.96,261501.0,18181416.0
2020-06-12,69.14,71.7,69.0,70.42,281995.0,19929415.0
2020-06-11,73.0,73.0,69.68,69.68,380112.0,26788381.0
2020-06-10,77.18,78.0,74.1,74.68,229376.0,17189590.0
2020-06-09,78.0,78.5,73.88,77.0,377195.0,28826325.0
2020-06-08,77.5,78.84,77.0,77.98,191185.0,14931616.0
2020-06-05,76.92,78.6,76.52,77.98,297382.0,23119485.0
2020-06-04,76.32,76.74,74.52,76.22,497911.0,37826822.0
2020-06-03,74.38,76.72,74.2,76.72,326501.0,24792294.0
2020-06-02,70.9,74.08,70.34,73.92,254395.0,18665667.0
2020-06-01,70.1,70.66,68.78,70.34,135675.0,9509826.0
2020-05-29,71.6,71.68,68.3,68.48,722360.0,49658853.0
2020-05-28,71.8,72.94,71.4,72.94,233743.0,16958019.0
2020-05-27,68.28,71.9,68.1,71.3,298195.0,21158048.0
2020-05-26,66.5,68.62,65.92,68.58,303578.0,20579975.0
2020-05-25,66.2,66.48,65.4,65.52,145683.0,9563663.0
2020-05-22,65.2,66.42,63.78,65.5,278530.0,18131487.0
2020-05-21,66.6,67.22,65.68,65.78,263279.0,17410139.0
2020-05-20,67.0,67.76,65.2,67.38,315518.0,21133298.0
2020-05-19,71.64,72.24,65.1,67.12,526045.0,35451050.0
2020-05-18,69.6,71.22,67.3,71.22,134194.0,9373223.0
2020-05-15,69.74,70.54,68.02,68.92,178953.0,12371158.0
2020-05-14,70.54,71.2,67.44,68.48,245134.0,16877618.0
2020-05-13,71.6,73.0,70.18,71.5,157508.0,11274954.0
2020-05-12,73.3,73.3,71.46,72.26,151771.0,10957752.0
2020-05-11,73.56,74.18,72.78,73.38,140982.0,10338690.0
2020-05-08,72.84,73.76,71.74,73.76,125156.0,9155920.0
2020-05-07,73.16,73.28,71.22,72.5,125459.0,9088152.0
2020-05-06,74.0,74.28,72.08,72.98,213736.0,15688673.0
2020-05-05,69.96,70.5,67.8,70.5,118135.0,8249039.0
2020-05-04,69.9,69.9,66.18,68.62,417836.0,28638976.0
2020-04-30,74.3,74.7,70.5,71.24,213863.0,15290274.0
2020-04-29,70.88,74.44,70.52,74.34,203152.0,14923486.0
2020-04-28,67.98,71.0,67.12,71.0,181064.0,12719539.0
2020-04-27,67.76,68.74,66.7,67.7,144120.0,9747697.0
2020-04-24,67.48,68.18,65.82,66.56,182665.0,12205265.0
2020-04-23,66.2,68.3,66.12,68.2,175431.0,11875955.0
2020-04-22,68.4,68.4,64.98,66.12,274943.0,18098251.0
2020-04-21,69.5,69.94,67.14,67.14,167380.0,11339341.0
2020-04-20,69.86,70.16,68.5,69.94,116732.0,8108498.0
2020-04-17,68.0,69.54,67.16,69.54,200297.0,13786416.0
2020-04-16,68.18,69.04,65.52,65.52,196705.0,13026648.0
2020-04-15,70.84,71.12,67.08,67.08,221268.0,14960803.0
2020-04-14,73.2,73.52,69.64,70.48,243258.0,17176564.0
2020-04-09,70.88,73.76,68.98,72.64,316306.0,22734605.0
2020-04-08,70.3,70.6,68.66,69.22,143730.0,9966481.0
2020-04-07,68.82,71.36,68.62,70.0,294180.0,20601093.0
2020-04-06,67.92,69.2,66.66,67.64,239733.0,16223340.0
2020-04-03,67.42,67.42,65.24,65.68,164731.0,10847211.0
2020-04-02,66.02,68.12,65.12,66.74,144173.0,9606099.0
2020-04-01,65.78,66.96,63.32,65.9,204342.0,13333894.0
2020-03-31,66.68,68.28,64.78,66.38,392858.0,25972046.0
2020-03-30,65.06,65.9,62.6,65.36,198548.0,12887861.0
2020-03-27,69.88,69.88,63.66,64.4,284569.0,18667158.0
2020-03-26,68.5,69.88,65.02,69.88,279186.0,19023764.0
2020-03-25,72.42,72.42,66.8,70.2,300144.0,20916072.0
2020-03-24,68.82,69.66,67.48,68.94,296235.0,20286630.0
2020-03-23,70.1,70.56,66.0,66.02,403308.0,27138495.0
2020-03-20,78.0,78.58,70.5,72.76,635595.0,46641209.0
